iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	35.81	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	46.20	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	33.44	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	39.88	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	59.50	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.9	54.37	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	42.10	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.2	34.13	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.4	42.39	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.6	33.59	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	53.1	32.18	500	114.58	500.0	0.2986	0.1877	0.0000	0.0171	0.6498	0.4403	0.4185	0.4654
11	5500	59.3	163.10	500	114.58	500.0	0.3001	0.3230	0.0000	0.0357	0.7557	1.3769	0.4791	0.4760
12	6000	65.3	46.46	500	114.58	500.0	0.3080	0.3988	0.0000	0.0330	0.7822	1.4968	0.4606	0.5062
13	6500	71.5	260.58	500	114.58	500.0	0.3312	1.0139	0.0000	0.0763	1.0563	3.5576	0.5970	0.5092
14	7000	77.6	187.95	500	114.58	500.0	0.3545	1.2370	0.0000	0.0777	1.3293	5.8154	0.7390	0.5088
15	7500	95.3	250.18	500	78.63	500.0	0.3910	1.2015	0.0000	0.1364	1.6355	7.8531	0.8330	0.5163
16	8000	101.3	49.42	500	78.63	500.0	0.3936	2.6163	0.0000	0.0954	1.7800	9.4515	0.9051	0.5426
17	8500	107.3	169.17	500	78.63	500.0	0.4502	1.7642	0.0000	0.1299	2.1368	11.7140	1.0405	0.5329
18	9000	113.4	171.16	500	78.63	500.0	0.4427	2.2501	0.0000	0.1188	2.2679	13.2297	1.1146	0.5385
19	9500	119.4	337.22	500	78.63	500.0	0.4639	2.5169	0.0000	0.1209	2.5569	15.6879	1.2239	0.5371
20	10000	137.2	81.29	500	134.88	500.0	0.4708	2.8643	0.0000	0.1313	2.4089	14.0159	1.1816	0.5509
21	10500	143.4	72.86	500	134.88	500.0	0.4668	1.8079	0.0000	0.1296	2.2912	12.9282	1.0282	0.5613
22	11000	149.5	101.10	500	134.88	500.0	0.4747	1.5921	0.0000	0.1215	2.1181	11.0809	1.0374	0.5819
23	11500	155.6	174.71	500	134.88	500.0	0.5169	2.4653	0.0000	0.1371	2.8010	16.9872	1.2823	0.5962
24	12000	161.7	69.82	500	134.88	500.0	0.5092	2.1636	0.0000	0.1093	2.3971	13.2408	1.1607	0.5941
25	12500	179.8	207.57	500	146.18	500.0	0.5390	2.2505	0.0000	0.1259	2.6332	14.9219	1.2077	0.6372
26	13000	185.9	159.06	500	146.18	500.0	0.5253	2.9545	0.0000	0.1366	2.8052	16.8628	1.2352	0.6160
27	13500	192.0	120.25	500	146.18	500.0	0.5719	3.0467	0.0000	0.1387	3.1077	18.9450	1.4993	0.6356
28	14000	198.1	229.26	500	146.18	500.0	0.5645	2.5262	0.0000	0.1228	3.1907	20.0036	1.5793	0.6327
29	14500	204.2	224.48	500	146.18	500.0	0.6237	3.1114	0.0000	0.1790	3.5624	22.2553	1.8462	0.6196
30	15000	222.0	78.43	500	193.45	500.0	0.6248	2.9845	0.0000	0.1600	3.3250	19.9550	1.7067	0.6515
31	15500	228.1	279.57	500	193.45	500.0	0.6461	3.7728	0.0000	0.1522	3.8770	25.0866	1.9865	0.6724
32	16000	234.1	270.12	500	193.45	500.0	0.6544	3.1653	0.0000	0.1472	3.8560	24.7358	1.8211	0.6668
33	16500	240.1	282.00	500	193.45	500.0	0.6941	3.3850	0.0000	0.1728	4.1418	26.6723	2.0195	0.6578
34	17000	246.1	312.34	500	193.45	500.0	0.6980	4.1043	0.0000	0.1884	4.5548	30.6461	2.3324	0.6381
35	17500	263.7	229.21	500	182.58	500.0	0.7557	4.4567	0.0000	0.1905	4.8870	32.8040	2.4642	0.6589
36	18000	269.8	163.54	500	182.58	500.0	0.7151	5.6257	0.0000	0.1844	4.8201	32.9770	2.6523	0.6792
37	18500	275.8	67.48	500	182.58	500.0	0.7875	5.0699	0.0000	0.1674	4.5963	29.3769	2.1683	0.6648
38	19000	281.8	139.71	500	182.58	500.0	0.7786	4.6102	0.0000	0.1743	4.6175	29.7315	2.2409	0.6822
39	19500	287.8	342.32	500	182.58	500.0	0.8047	5.0729	0.0000	0.1592	4.7655	30.7643	2.5743	0.6749
40	20000	305.5	381.99	500	357.41	500.0	0.8428	3.5894	0.0000	0.1901	5.0815	33.0085	2.2554	0.6797
41	20500	311.6	359.07	500	357.41	500.0	0.8009	3.9039	0.0000	0.2051	5.2020	34.9771	2.1591	0.6860
42	21000	317.7	291.28	500	357.41	500.0	0.8926	4.4070	0.0000	0.2048	5.4730	35.8554	2.5307	0.6772
43	21500	324.0	269.75	500	357.41	500.0	0.9176	5.3955	0.0000	0.2094	6.0899	41.4995	3.0271	0.6919
44	22000	330.1	282.69	500	357.41	500.0	0.9329	5.7184	0.0000	0.1919	6.1423	41.8060	2.9689	0.6984
45	22500	348.0	175.09	500	377.13	500.0	0.8944	4.6017	0.0000	0.2053	5.6548	37.6338	2.7983	0.7106
46	23000	354.1	336.90	500	377.13	500.0	0.9503	5.2505	0.0000	0.2123	5.7764	37.6971	3.0289	0.7059
47	23500	360.2	227.26	500	377.13	500.0	0.9871	4.8641	0.0000	0.1921	6.5128	44.4264	3.0296	0.6880
48	24000	366.2	315.64	500	377.13	500.0	1.0156	4.7496	0.0000	0.2150	6.3328	41.9415	3.0462	0.7525
49	24500	372.2	329.46	500	377.13	500.0	1.0513	4.6307	0.0000	0.2259	6.9505	47.3498	3.3078	0.7247
50	25000	390.0	388.65	500	270.28	500.0	1.0237	3.9309	0.0000	0.2429	6.6058	44.3706	2.9703	0.7409
51	25500	396.1	220.12	500	270.28	500.0	1.0735	5.4166	0.0000	0.2455	6.9096	46.3979	3.6169	0.7035
52	26000	402.2	500.86	500	270.28	500.0	1.0607	6.5547	0.0000	0.2360	6.7513	45.1189	3.6579	0.7491
