iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss
0	0	0.2	30.31	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	25.13	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	26.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	23.80	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.7	25.64	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.9	25.26	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.0	25.63	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.2	25.22	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.3	25.27	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.5	23.97	500	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	79.4	21.03	500	35.68	500.0	0.0077	0.0262	-12.7276	0.0009	0.0192	0.0342	0.0094
11	5500	88.5	27.99	500	35.68	500.0	0.0075	0.0246	-13.9700	0.0009	0.0188	0.0343	0.0106
12	6000	97.7	44.89	500	35.68	500.0	0.0071	0.0274	-15.0047	0.0007	0.0181	0.0355	0.0106
13	6500	106.9	44.32	500	35.68	500.0	0.0079	0.0411	-16.3757	0.0009	0.0251	0.0872	0.0117
14	7000	116.1	61.58	500	35.68	500.0	0.0083	0.0425	-18.3391	0.0009	0.0306	0.1362	0.0147
15	7500	142.4	29.98	500	62.71	500.0	0.0081	0.0435	-19.7908	0.0007	0.0266	0.1010	0.0136
16	8000	151.3	28.64	500	62.71	500.0	0.0080	0.0326	-20.8327	0.0007	0.0232	0.0688	0.0127
17	8500	160.2	73.29	500	62.71	500.0	0.0071	0.0352	-21.5291	0.0006	0.0194	0.0488	0.0118
18	9000	169.3	95.01	500	62.71	500.0	0.0074	0.0279	-22.5017	0.0012	0.0207	0.0523	0.0108
