iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	1.75	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.5	0.02	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.0	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	76.8	0.00	500	48.54	500.0	0.0000	0.0080	-0.4396	0.0003	0.0002	0.0007	0.0001	0.0319
11	5500	85.6	0.00	500	48.54	500.0	0.0000	0.0032	-0.3969	0.0002	0.0002	0.0003	0.0001	0.0373
12	6000	94.3	147.53	500	48.54	500.0	0.0010	0.2217	-2.0428	0.0675	0.0437	0.0794	0.0187	0.1017
13	6500	103.0	464.76	500	48.54	500.0	0.0080	4.0897	-5.6288	0.2694	0.2276	0.7688	0.0930	0.2564
14	7000	111.8	0.00	500	48.54	500.0	0.0040	1.6649	-9.5158	0.1761	0.1662	0.7015	0.0615	0.4255
15	7500	134.9	454.77	500	754.03	500.0	0.0036	1.1792	-19.1537	0.1565	0.1947	1.0928	0.0783	0.4643
16	8000	143.7	745.76	500	754.03	500.0	0.0052	1.9386	-29.0742	0.2205	0.2723	1.5162	0.1060	0.4622
17	8500	152.4	0.00	500	754.03	500.0	0.0051	12.9769	-34.8033	0.1149	0.3063	2.3876	0.1316	0.5614
18	9000	161.2	0.00	500	754.03	500.0	0.0048	2.1474	-38.6254	0.0657	0.1876	1.4513	0.0803	0.5755
19	9500	170.0	0.00	500	754.03	500.0	0.0043	1.7473	-43.4168	0.0563	0.1603	1.2352	0.0745	0.5583
20	10000	193.1	840.64	500	509.76	500.0	0.0052	2.4081	-59.4192	0.0560	0.2192	1.8083	0.1014	0.5335
21	10500	201.9	914.99	500	509.76	500.0	0.0047	3.1479	-73.2241	0.0510	0.2642	2.2935	0.1258	0.5345
22	11000	210.7	814.99	500	509.76	500.0	0.0043	3.8885	-73.1895	0.0429	0.1831	1.5299	0.0821	0.5850
23	11500	219.3	888.69	500	509.76	500.0	0.0056	6.4262	-96.1847	0.0591	0.4496	4.0890	0.2226	0.4896
24	12000	228.1	934.60	500	509.76	500.0	0.0044	3.1552	-100.8251	0.0304	0.2379	2.1391	0.1146	0.5108
25	12500	251.5	809.66	500	876.09	500.0	0.0055	4.1334	-115.9345	0.0193	0.3005	2.7992	0.1559	0.4678
26	13000	260.2	915.61	500	876.09	500.0	0.0056	3.8745	-129.5196	0.0271	0.2685	2.4382	0.1416	0.4642
